Sector,Name,Price,52 Week High,52 Week Low
Industrials,3M Company,222.89,259.77,175.49
Industrials,A.O. Smith Corp,60.24,68.39,48.925
Health Care,Abbott Laboratories,56.27,64.6,42.28
Health Care,AbbVie Inc.,108.48,125.86,60.05
Information Technology,Accenture plc,150.51,162.6,114.82
Information Technology,Activision Blizzard,65.83,74.945,38.93
Industrials,Acuity Brands Inc,145.41,225.36,142.0
Information Technology,Adobe Systems Inc,185.16,204.45,114.451
Consumer Discretionary,Advance Auto Parts,109.63,169.55,78.81
Information Technology,Advanced Micro Devices Inc,11.22,15.65,9.7
Utilities,AES Corp,10.06,12.05,10.0
Health Care,Aetna Inc,178.0,194.4,119.51
Financials,Affiliated Managers Group Inc,179.11,216.995,148.81
Financials,AFLAC Inc,83.25,91.73,68.8
Health Care,Agilent Technologies Inc,65.05,75.0,49.23
Materials,Air Products & Chemicals Inc,152.8,175.17,133.6301
Information Technology,Akamai Technologies Inc,62.49,69.56,44.65
Industrials,Alaska Air Group Inc,64.04,101.43,59.25
Materials,Albemarle Corp,105.18,144.99,90.35
Real Estate,Alexandria Real Estate Equities Inc,114.58,134.37,106.89
Health Care,Alexion Pharmaceuticals,108.47,149.34,96.18
Health Care,Align Technology,220.71,287.32,92.61
Industrials,Allegion,77.32,89.81,66.72
Health Care,"Allergan, Plc",164.2,256.8,160.07
Information Technology,Alliance Data Systems,240.6,278.33,209.0
Utilities,Alliant Energy Corp,37.14,45.55,36.84
Financials,Allstate Corp,90.06,105.36,77.73
Information Technology,Alphabet Inc Class A,1007.71,1198.0,824.3
Information Technology,Alphabet Inc Class C,1001.52,1186.89,803.1903
Consumer Staples,Altria Group Inc,64.05,77.79,60.01
Consumer Discretionary,Amazon.com Inc,1350.5,1498.0,812.5
Utilities,Ameren Corp,52.59,64.89,51.81
Industrials,American Airlines Group,48.6,59.08,39.21
Utilities,American Electric Power,63.38,78.07,62.69
Financials,American Express Co,88.34,102.385,75.51
Financials,"American International Group, Inc.",58.28,67.3,57.85
Real Estate,American Tower Corp A,133.57,155.28,103.36
Utilities,American Water Works Company Inc,76.06,92.37,71.89
Financials,Ameriprise Financial,152.5,183.9,118.84
Health Care,AmerisourceBergen Corp,91.55,106.27,71.9
Industrials,AMETEK Inc,72.05,78.51,51.31
Health Care,Amgen Inc,173.12,201.23,152.16
Information Technology,Amphenol Corp,84.44,93.62,67.26
Energy,Anadarko Petroleum Corp,56.2,70.0,39.96
Information Technology,"Analog Devices, Inc.",82.68,98.38,74.65
Energy,Andeavor,96.9,121.71,75.11
Information Technology,ANSYS,148.84,164.9,94.52
Health Care,Anthem Inc.,230.57,267.95,156.81
Financials,Aon plc,136.05,152.78,113.2201
Energy,Apache Corporation,37.73,57.9,38.14
Real Estate,Apartment Investment & Management,38.21,46.855,38.85
Information Technology,Apple Inc.,155.15,180.1,131.12
Information Technology,Applied Materials Inc,45.75,60.89,34.58
Consumer Discretionary,Aptiv Plc,89.27,96.91,82.97
Consumer Staples,Archer-Daniels-Midland Co,41.35,47.44,38.59
Industrials,Arconic Inc,24.45,31.17,21.755
Financials,Arthur J. Gallagher & Co.,64.4,70.55,53.63
Financials,Assurant Inc,85.16,106.985,85.91
Telecommunication Services,AT&T Inc,35.57,42.7,32.55
Information Technology,Autodesk Inc,104.81,131.1,81.75
Information Technology,Automatic Data Processing,108.25,125.24,95.5
Consumer Discretionary,AutoZone Inc,718.57,797.89,491.13
Real Estate,"AvalonBay Communities, Inc.",154.94,199.52,156.01
Materials,Avery Dennison Corp,110.77,123.67,78.471
Energy,"Baker Hughes, a GE Company",27.5,57.73,28.03
Materials,Ball Corp,38.44,43.24,35.6
Financials,Bank of America Corp,29.74,32.67,22.07
Health Care,Baxter International Inc.,62.56,72.58,48.15
Financials,BB&T Corporation,51.07,55.99,41.17
Health Care,Becton Dickinson,211.44,248.3888,175.66
Financials,Berkshire Hathaway,191.42,217.62,160.93
Consumer Discretionary,Best Buy Co. Inc.,68.79,78.59,41.67
Health Care,Biogen Inc.,311.79,370.57,244.28
Financials,BlackRock,509.38,594.52,368.0
Financials,Block H&R,25.19,31.8,19.85
Industrials,Boeing Company,329.66,361.45,163.69
Consumer Discretionary,BorgWarner,51.94,58.22,37.54
Real Estate,Boston Properties,112.09,140.13,111.87
Health Care,Boston Scientific,25.2,29.93,23.29
Financials,Brighthouse Financial Inc,55.44,75.0,52.751
Health Care,Bristol-Myers Squibb,62.69,66.1,51.12
Information Technology,Broadcom,229.57,285.68,202.61
Consumer Staples,Brown-Forman Corp.,63.33,69.9028,45.415
Industrials,C. H. Robinson Worldwide,90.47,100.18,63.41
Information Technology,"CA, Inc.",32.66,36.56,30.45
Energy,Cabot Oil & Gas,23.01,29.57,21.4
