Company Name,Service,Style,Address,Phone,Postcode
Seasons,Full Serve,American,888 Eighth Ave,(212) 586-2257,10019
Rosie O'Grady's Saloon,Full Serve,American,800 Seventh Ave,212-582-2975,10019
The Library @ Paramount Hotel,Full Serve,American,235 W 46th St,212 827-4183,10036
B.B. King Blues Club & Grill,Full Serve,American,237 W 42nd St,2129974144,10036
Lucky Star Cafe,Full Serve,American,250 W 43rd St,(201) 838-9269,10036
Restaurant Charlotte @ Millennium Broadway Hotel,Full Serve,American,145 W 44th St,212 789-7508,10036
O'Lunney's Times Square Pub,Full Serve,American,145 W 45th St,212 840-6688,10036
Langan's Bar & Restaurant,Full Serve,American,150 W 47th St,(212) 869-5482,10036
Bar Americain,Full Serve,American,152 W 52nd St,(212) 265-9700,10019
Schnipper's Quality Kitchen,Full Serve,American,620 Eighth Ave,(212) 921-2400,10018
Sardi's Restaurant,Full Serve,American,234-236 W 44th St,(212) 221-8440,10036
Library Bar,Full Serve,American,235 W 46th St,(212) 827-4183,10036
Robert Emmett's Bar & Restaurant,Full Serve,American,694 Eighth Ave,(212) 302-9999,10036
Hard Rock Cafe,Full Serve,American,1501 Broadway,2123433355,10036
Planet Hollywood,Full Serve,American,1540 Broadway,(212) 333-7827,10036
B. Smith's Restaurant Row,Full Serve,American,320 W 46th St,(212) 315-1100,10036
Joe Allen,Full Serve,American,326 W 46th St,(212) 581-6464,10036
O'Flaherty's Ale House & Restaurant,Full Serve,American,334 W 46th St,(212) 581-9366,10036
Restaurant,Full Serve,American,155 W 46th St,2128690900,10036
TGI Friday's,Full Serve,American,1552 Broadway,2129447352,10036
Swing 46 Jazz and Supper Club,Full Serve,American,349 W 46th St,(212) 262-9554,10036
The House of Brews,Full Serve,American,363 W 46th St,(212) 245-0551,10036
Joshua Tree - CLOSED,Full Serve,American,368 W 46th St,(212) 489-1920,10036
Pig 'N' Whistle,Full Serve,American,165 W 47th St store front,(212) 302-0112,10036
Aspen Social Club,Full Serve,American,157 W 47th St,(212) 221-7200,10036
Spotlight Times Square,Full Serve,American,1604-1610 Broadway,2129776773,10019
Ellen's Stardust Diner,Full Serve,American,1650 Broadway,(212) 956-5151,10019
Playwright Bar And Restaurant,Full Serve,American,202 W 49th St,(212) 262-9263,10019
Pinnacle Bar,Full Serve,American,234 W 42nd St 25th Floor,212-642-2607,10036
Applebee's Neighborhood Grill and Bar,Full Serve,American,234 W 42nd St,914-777-2331 Ext.116,10036
Juniors Restaurant,Full Serve,American,1515 Broadway,212-302-2000,10036
Encore Restaurant @ Marriott Marquis,Full Serve,American,1535 Broadway 5th Floor,(212) 704-8849,10036
The Two Times Square Restaurant,Full Serve,American,714 Seventh Ave,(212) 261-5200,10036
The View Restaurant & Lounge @ Marriott Marquis,Full Serve,American,1535 Broadway 48th Floor,(212) 704-8849,10036
Applebee's,Full Serve,American,205 W 50th St,(212) 262-4022,10019
Social Bar NYC & Latitude Bar Grill,Full Serve,American,795 Eighth Avenue,(212) 459-0643,10019
Gingers Restaurant,Full Serve,American,1568 Broadway,(212) 403-6371,10036
Aureole,Full Serve,American,1 Bryant Park,2123191660,10036
Dunhill Cafe,Full Serve,American,109 W 45th St,(212) 944-8484,10036
H&B Heartland Burgers,Full Serve,American,127 W 43rd St,(646) 366-0235,10036
Heartland Brewery,Full Serve,American,127 W 43rd St,212-366-0235,10036
Cafe O,Full Serve,American,130 W 42nd St,(212) 852-4900,10036
NIOS Restaurant @ Muse Hotel,Full Serve,American,130 W 46th St,212 485-2400,10036
T.G.I. Friday's,Full Serve,American,761 Seventh Ave,2127678349,10019
Charley O's,Full Serve,American,713 Eighth Ave,2129770025,10036
